iter	Passed	Remaining
454	1023	1225
455	1025	1223
456	1027	1220
457	1028	1217
458	1034	1219
459	1036	1216
460	1039	1215
461	1041	1212
462	1042	1209
463	1043	1205
464	1046	1204
465	1050	1204
466	1054	1203
467	1055	1200
468	1057	1197
469	1059	1194
470	1083	1216
471	1085	1214
472	1088	1212
473	1090	1210
474	1100	1216
475	1102	1214
476	1104	1211
477	1106	1208
478	1114	1212
479	1117	1210
480	1119	1207
481	1121	1204
482	1128	1208
483	1131	1205
484	1133	1203
485	1135	1200
486	1136	1197
487	1145	1201
488	1146	1198
489	1148	1195
490	1149	1192
491	1152	1189
492	1158	1191
493	1160	1188
494	1162	1185
495	1164	1182
496	1165	1179
497	1166	1176
498	1168	1172
499	1172	1172
500	1174	1169
501	1176	1166
502	1177	1163
503	1179	1160
504	1180	1156
505	1186	1158
506	1188	1156
507	1190	1152
508	1191	1149
509	1192	1145
510	1193	1142
511	1194	1138
512	1195	1135
513	1202	1136
514	1204	1133
515	1205	1130
516	1206	1127
517	1208	1124
518	1209	1120
519	1210	1117
520	1213	1115
521	1217	1114
522	1218	1111
523	1219	1108
524	1222	1105
525	1225	1103
526	1226	1100
527	1228	1098
528	1231	1096
529	1233	1093
530	1234	1090
531	1235	1086
532	1235	1082
533	1236	1079
534	1237	1075
535	1239	1072
536	1240	1069
537	1241	1065
538	1244	1064
539	1246	1062
540	1248	1059
541	1249	1055
542	1250	1052
543	1251	1048
544	1252	1045
545	1253	1042
546	1254	1039
547	1255	1035
548	1259	1034
549	1262	1033
550	1264	1030
551	1265	1027
552	1266	1024
553	1267	1020
554	1268	1017
555	1269	1013
556	1270	1010
557	1272	1008
558	1275	1006
559	1277	1003
560	1278	1000
561	1279	997
562	1280	993
563	1281	990
564	1282	987
565	1283	983
566	1284	980
567	1285	977
568	1285	974
569	1288	972
570	1290	969
571	1291	966
572	1292	963
573	1293	960
574	1294	956
575	1295	953
576	1296	950
577	1297	947
578	1298	944
579	1300	941
580	1302	939
581	1305	937
582	1306	934
583	1307	931
584	1308	928
585	1309	925
586	1310	921
587	1311	918
588	1312	915
589	1313	912
590	1315	910
591	1318	908
592	1321	906
593	1322	903
594	1323	900
595	1324	897
596	1325	894
597	1326	891
598	1326	888
599	1327	885
600	1329	882
601	1331	880
602	1334	878
603	1336	875
604	1337	873
605	1338	870
606	1339	867
607	1340	864
608	1341	861
609	1344	859
610	1348	858
611	1351	856
612	1352	854
613	1353	851
614	1355	848
615	1356	845
616	1359	843
617	1362	842
618	1364	839
619	1365	837
620	1367	834
621	1368	831
622	1369	828
623	1371	826
624	1377	826
625	1379	823
626	1380	821
627	1382	818
628	1383	815
629	1384	813
630	1385	810
631	1389	808
632	1394	808
633	1395	805
634	1397	803
635	1398	800
636	1399	797
637	1400	794
638	1407	795
639	1409	792
640	1411	790
641	1413	788
642	1415	785
643	1416	782
644	1424	784
645	1426	781
646	1427	778
647	1428	776
648	1430	773
649	1431	770
650	1433	768
651	1437	767
652	1439	765
653	1440	762
654	1442	759
655	1443	756
656	1444	754
657	1445	751
658	1446	748
659	1451	747
660	1454	745
661	1455	743
662	1456	740
663	1457	737
664	1459	735
665	1460	732
666	1461	729
667	1466	729
668	1468	726
669	1470	724
670	1471	721
671	1472	718
672	1473	716
673	1474	713
674	1476	710
675	1480	709
676	1483	707
677	1485	705
678	1486	702
679	1487	700
680	1489	697
681	1490	694
682	1491	692
683	1497	692
684	1499	689
685	1500	686
686	1502	684
687	1503	681
688	1506	679
689	1511	679
690	1514	677
691	1515	674
692	1516	671
693	1517	669
694	1519	666
695	1520	664
696	1521	661
697	1525	659
698	1528	657
699	1529	655
700	1531	653
701	1532	650
702	1534	648
703	1535	645
704	1536	643
705	1541	642
706	1544	639
707	1545	637
708	1546	634
709	1547	632
710	1549	629
711	1550	626
712	1551	624
713	1554	622
714	1557	620
715	1559	618
716	1560	616
717	1561	613
718	1562	610
719	1564	608
720	1565	605
721	1566	603
722	1569	601
723	1572	599
724	1573	596
725	1574	594
726	1575	591
727	1576	589
728	1578	586
729	1579	584
730	1583	582
731	1586	580
732	1589	578
733	1590	576
734	1591	573
735	1593	571
736	1594	568
737	1597	567
738	1601	565
739	1603	563
740	1604	560
741	1605	558
742	1606	555
743	1607	553
744	1608	550
745	1611	548
746	1616	547
747	1618	545
748	1619	542
749	1620	540
750	1621	537
751	1622	535
752	1624	532
753	1627	530
754	1631	529
755	1632	526
756	1633	524
757	1634	521
758	1636	519
759	1637	517
760	1638	514
761	1639	512
762	1645	511
763	1647	508
764	1649	506
765	1650	504
766	1651	501
767	1652	499
768	1653	496
769	1654	494
770	1658	492
771	1662	490
772	1663	488
773	1664	485
774	1665	483
775	1666	481
776	1667	478
777	1669	476
778	1670	473
779	1676	472
780	1678	470
781	1679	468
782	1680	465
783	1681	463
784	1682	460
785	1683	458
786	1684	455
787	1684	453
788	1688	451
789	1691	449
790	1692	447
791	1693	444
792	1694	442
793	1695	439
794	1696	437
795	1697	434
796	1698	432
797	1698	430
798	1699	427
799	1705	426
800	1706	424
801	1707	421
802	1708	419
803	1709	416
804	1710	414
805	1711	412
806	1712	409
807	1713	407
808	1714	404
809	1721	403
810	1723	401
811	1724	399
812	1725	396
813	1726	394
814	1727	392
815	1727	389
816	1728	387
817	1729	384
818	1736	383
819	1737	381
820	1738	379
821	1739	376
822	1740	374
823	1741	371
824	1742	369
825	1743	367
826	1744	364
827	1745	362
828	1752	361
829	1753	359
830	1754	356
831	1755	354
832	1756	352
833	1757	349
834	1758	347
835	1759	345
836	1762	343
837	1766	341
838	1767	339
839	1768	336
840	1769	334
841	1770	332
842	1771	329
843	1772	327
844	1773	325
845	1774	323
846	1777	320
847	1779	318
848	1781	316
849	1782	314
850	1783	312
851	1784	309
852	1785	307
853	1786	305
854	1787	303
855	1788	300
856	1789	298
857	1791	296
858	1794	294
859	1796	292
860	1797	290
861	1798	287
862	1799	285
863	1800	283
864	1801	281
865	1802	278
866	1803	276
867	1804	274
868	1806	272
869	1809	270
870	1811	268
871	1812	265
872	1812	263
873	1813	261
874	1814	259
875	1815	257
876	1817	254
877	1818	252
878	1819	250
879	1822	248
880	1824	246
881	1826	244
882	1826	242
883	1827	239
884	1828	237
885	1830	235
886	1831	233
887	1832	231
888	1833	228
889	1835	226
890	1838	224
891	1840	222
892	1841	220
893	1841	218
894	1842	216
895	1844	214
896	1844	211
897	1845	209
898	1846	207
899	1847	205
900	1849	203
901	1852	201
902	1854	199
903	1855	197
904	1856	194
905	1857	192
906	1858	190
907	1859	188
908	1860	186
909	1861	184
910	1862	181
911	1865	180
912	1868	178
913	1869	175
914	1870	173
915	1871	171
916	1872	169
917	1873	167
918	1874	165
919	1875	163
920	1876	160
921	1877	158
922	1882	157
923	1884	154
924	1885	152
925	1886	150
926	1887	148
927	1888	146
928	1889	144
929	1890	142
930	1890	140
931	1891	138
932	1894	136
933	1898	134
934	1899	132
935	1900	129
936	1901	127
937	1902	125
938	1903	123
939	1904	121
940	1905	119
941	1906	117
942	1908	115
943	1911	113
944	1913	111
945	1914	109
946	1915	107
947	1916	105
948	1917	103
949	1918	100
950	1919	98
951	1920	96
952	1921	94
953	1923	92
954	1926	90
955	1927	88
956	1928	86
957	1929	84
958	1930	82
959	1931	80
960	1932	78
961	1933	76
962	1934	74
963	1936	72
964	1940	70
965	1941	68
966	1942	66
967	1943	64
968	1944	62
969	1945	60
970	1946	58
971	1947	56
972	1948	54
973	1949	52
974	1951	50
975	1956	48
976	1957	46
977	1959	44
978	1959	42
979	1960	40
980	1961	37
981	1962	35
982	1963	33
983	1964	31
984	1967	29
985	1970	27
986	1971	25
987	1972	23
988	1973	21
989	1974	19
990	1975	17
991	1976	15
992	1977	13
993	1978	11
994	1979	9
995	1981	7
996	1983	5
997	1985	3
998	1986	1
999	1987	0
