iter	Passed	Remaining
181	462	2080
182	469	2093
183	471	2089
184	476	2099
185	478	2095
186	481	2091
187	483	2087
188	485	2082
189	486	2075
190	488	2070
191	490	2065
192	492	2059
193	494	2054
194	496	2049
195	499	2048
196	501	2044
197	503	2039
198	505	2034
199	507	2030
200	509	2024
201	511	2019
202	513	2014
203	515	2012
204	518	2011
205	521	2008
206	523	2003
207	525	2000
208	527	1997
209	530	1995
210	533	1994
211	535	1989
212	537	1985
213	539	1983
214	542	1980
215	549	1993
216	551	1990
217	553	1986
218	556	1983
219	558	1979
220	560	1974
221	562	1970
222	563	1964
223	565	1958
224	566	1952
225	568	1946
226	570	1941
227	572	1939
228	574	1934
229	575	1927
230	577	1921
231	579	1918
232	581	1913
233	582	1908
234	589	1917
235	591	1914
236	593	1911
237	595	1907
238	597	1903
239	600	1900
240	603	1902
241	606	1900
242	608	1896
243	611	1893
244	613	1889
245	615	1886
246	618	1884
247	620	1881
248	621	1875
249	623	1869
250	624	1863
251	625	1858
252	627	1852
253	629	1848
254	633	1850
255	635	1848
256	638	1845
257	640	1841
258	642	1837
259	645	1837
260	648	1835
261	659	1857
262	662	1856
263	665	1855
264	667	1850
265	669	1847
266	672	1845
267	674	1843
268	677	1839
269	680	1838
270	683	1838
271	686	1837
272	688	1834
273	691	1833
274	694	1830
275	696	1826
276	698	1822
277	700	1819
278	702	1816
279	705	1813
280	707	1811
281	710	1809
282	712	1806
283	714	1801
284	717	1800
285	719	1796
286	721	1791
287	724	1791
288	726	1788
289	728	1784
290	732	1784
291	734	1779
292	735	1774
293	745	1790
294	747	1785
295	748	1780
296	749	1775
297	751	1769
298	753	1765
299	755	1761
300	756	1756
301	757	1751
302	759	1747
303	761	1742
304	762	1738
305	764	1733
306	765	1728
307	767	1723
308	769	1721
309	771	1717
310	773	1713
311	775	1709
312	776	1704
313	778	1700
314	779	1695
315	781	1691
316	783	1687
317	785	1685
318	787	1681
319	789	1676
320	790	1672
321	791	1667
322	793	1662
323	794	1658
324	796	1653
325	798	1650
326	800	1647
327	802	1643
328	803	1639
329	805	1635
330	807	1631
331	808	1627
332	810	1622
333	811	1618
334	813	1614
335	815	1611
336	817	1608
337	818	1603
338	820	1599
339	822	1595
340	823	1592
341	825	1587
342	826	1583
343	828	1580
344	831	1578
345	832	1574
346	834	1569
347	835	1564
348	836	1560
349	837	1556
350	839	1551
351	840	1547
352	843	1545
353	845	1543
354	847	1539
355	848	1535
356	850	1531
357	851	1526
358	852	1522
359	854	1518
360	855	1514
361	857	1510
362	859	1507
363	860	1503
364	862	1500
365	863	1495
366	865	1491
367	866	1488
368	868	1484
369	869	1480
370	871	1476
371	873	1474
372	875	1470
373	876	1467
374	878	1463
375	879	1459
376	880	1455
377	882	1452
378	884	1450
379	887	1447
380	889	1444
381	891	1442
382	894	1440
383	895	1437
384	897	1433
385	899	1430
386	901	1427
387	902	1424
388	905	1421
389	906	1418
390	908	1414
391	910	1411
392	912	1408
393	913	1405
394	915	1402
395	917	1400
396	920	1398
397	922	1395
398	924	1393
399	926	1390
400	928	1386
401	930	1383
402	932	1380
403	935	1380
404	937	1377
405	939	1374
406	941	1371
407	943	1368
408	945	1365
409	946	1362
410	949	1360
411	951	1357
412	953	1354
413	955	1352
414	957	1349
415	958	1346
416	960	1343
417	962	1340
418	965	1339
419	968	1337
420	969	1334
421	971	1330
422	973	1327
423	974	1324
424	976	1320
425	978	1319
426	980	1316
427	982	1313
428	984	1309
429	985	1306
430	987	1303
431	989	1300
432	990	1297
433	993	1295
434	995	1292
435	997	1289
436	998	1286
437	1000	1283
438	1002	1281
439	1004	1278
440	1007	1276
441	1010	1275
442	1014	1276
443	1021	1279
444	1024	1277
445	1025	1274
446	1027	1271
447	1029	1268
448	1031	1265
449	1033	1262
450	1035	1260
451	1037	1258
452	1039	1255
453	1041	1252
454	1042	1248
455	1044	1245
456	1046	1243
457	1050	1243
458	1052	1240
459	1054	1237
460	1055	1234
461	1057	1231
462	1059	1228
463	1061	1226
464	1063	1223
465	1066	1221
466	1067	1218
467	1069	1215
468	1071	1212
469	1072	1209
470	1074	1206
471	1076	1204
472	1078	1202
473	1081	1199
474	1082	1196
475	1084	1193
476	1086	1190
477	1087	1187
478	1089	1184
479	1091	1182
480	1093	1179
481	1095	1177
482	1097	1174
483	1099	1171
484	1100	1168
485	1102	1166
486	1104	1163
487	1106	1160
488	1108	1158
489	1111	1157
490	1113	1154
491	1114	1151
492	1117	1148
493	1118	1146
494	1120	1143
495	1123	1141
496	1125	1139
497	1127	1136
498	1129	1133
499	1133	1133
500	1134	1130
501	1136	1127
502	1139	1125
503	1142	1124
504	1144	1121
505	1145	1118
506	1147	1116
507	1150	1113
508	1151	1110
509	1154	1108
510	1156	1106
511	1158	1104
512	1160	1101
513	1161	1098
514	1163	1095
515	1164	1092
516	1166	1090
517	1168	1087
518	1170	1084
519	1172	1082
520	1174	1079
521	1176	1077
522	1177	1074
523	1179	1071
524	1180	1068
525	1183	1066
526	1185	1064
527	1187	1061
528	1189	1058
529	1190	1055
530	1192	1053
531	1193	1050
532	1195	1047
533	1198	1046
534	1203	1045
535	1205	1043
536	1206	1040
537	1208	1037
538	1210	1035
539	1212	1032
540	1215	1031
541	1217	1029
542	1219	1026
543	1221	1024
544	1223	1021
545	1225	1018
546	1227	1016
547	1229	1014
548	1231	1011
549	1233	1009
550	1236	1007
551	1237	1004
552	1239	1002
553	1242	1000
554	1245	998
555	1247	996
556	1249	993
557	1251	991
558	1253	988
559	1254	985
560	1256	982
561	1258	980
562	1260	978
563	1262	975
564	1264	973
565	1265	970
566	1267	968
567	1269	965
568	1270	962
569	1272	960
570	1274	957
571	1276	955
572	1278	952
573	1280	950
574	1281	947
575	1283	944
576	1284	941
577	1286	939
578	1288	937
579	1291	934
580	1293	932
581	1295	930
582	1296	927
583	1299	925
584	1300	922
585	1303	920
586	1305	918
587	1307	916
588	1309	913
589	1311	911
590	1313	909
591	1315	906
592	1316	903
593	1320	902
594	1322	900
595	1324	897
596	1326	895
597	1328	893
598	1330	890
599	1331	887
600	1335	886
601	1337	884
602	1339	881
603	1341	879
604	1342	876
605	1344	874
606	1346	871
607	1347	869
608	1349	866
609	1351	864
610	1353	861
611	1354	859
612	1356	856
613	1358	853
614	1359	851
615	1361	848
616	1363	846
617	1365	844
618	1367	841
619	1369	839
620	1371	836
621	1373	834
622	1374	832
623	1376	829
624	1381	828
625	1382	826
626	1384	823
627	1385	820
628	1387	818
629	1388	815
630	1390	813
631	1391	810
632	1394	808
633	1395	805
634	1397	803
635	1399	800
636	1400	798
637	1402	795
638	1403	792
639	1405	790
640	1406	787
641	1410	786
642	1412	783
643	1413	781
644	1415	778
645	1416	776
646	1418	773
647	1420	771
648	1421	769
649	1424	766
650	1426	764
651	1427	762
652	1429	759
653	1431	757
654	1432	754
655	1434	752
656	1436	749
657	1438	747
658	1441	746
659	1443	743
660	1444	741
661	1446	738
662	1447	735
663	1448	733
664	1450	730
665	1451	728
666	1453	725
667	1455	723
668	1457	720
669	1458	718
670	1459	715
671	1461	713
672	1462	710
673	1463	708
674	1465	705
675	1466	703
676	1468	700
677	1470	698
678	1471	695
679	1473	693
680	1474	690
681	1476	688
682	1477	685
683	1478	683
684	1480	680
685	1482	678
686	1484	676
687	1485	673
688	1486	671
689	1488	668
690	1489	666
691	1490	663
692	1492	661
693	1493	658
694	1495	656
695	1497	653
696	1499	651
697	1500	649
698	1502	646
699	1503	644
700	1505	642
701	1506	639
702	1508	637
703	1509	634
704	1511	632
705	1512	629
706	1514	627
707	1515	625
708	1517	622
709	1519	620
710	1520	618
711	1522	615
712	1523	613
713	1524	610
714	1526	608
715	1528	606
716	1530	603
717	1531	601
718	1533	599
719	1534	596
720	1535	594
721	1537	591
722	1538	589
723	1540	587
724	1542	584
725	1543	582
726	1545	580
727	1546	577
728	1548	575
729	1549	573
730	1551	570
731	1552	568
732	1554	566
733	1555	563
734	1557	561
735	1559	559
736	1560	556
737	1561	554
738	1563	552
739	1565	550
740	1568	548
741	1571	546
742	1574	544
743	1576	542
744	1579	540
745	1580	538
746	1582	535
747	1584	533
748	1586	531
749	1589	529
750	1592	527
751	1594	525
752	1596	523
753	1598	521
754	1599	519
755	1602	517
756	1608	516
757	1609	513
758	1611	511
759	1613	509
760	1615	507
761	1619	505
762	1621	503
763	1623	501
764	1625	499
765	1627	497
766	1628	494
767	1630	492
768	1632	490
769	1635	488
770	1637	486
771	1638	484
772	1640	481
773	1642	479
774	1643	477
775	1645	474
776	1647	472
777	1649	470
778	1651	468
779	1652	466
780	1654	463
781	1655	461
782	1657	459
783	1658	456
784	1659	454
785	1662	452
786	1664	450
787	1665	448
788	1666	445
789	1668	443
790	1669	441
791	1670	438
792	1672	436
793	1673	434
794	1675	432
795	1678	430
796	1679	427
797	1680	425
798	1682	423
799	1683	420
800	1684	418
801	1686	416
802	1687	414
803	1689	411
804	1691	409
805	1693	407
806	1694	405
807	1696	403
808	1697	400
809	1699	398
810	1700	396
811	1702	394
812	1703	391
813	1704	389
814	1706	387
815	1708	385
816	1709	383
817	1711	380
818	1712	378
819	1714	376
820	1715	374
821	1716	371
822	1718	369
823	1719	367
824	1721	365
825	1723	363
826	1724	360
827	1726	358
828	1727	356
829	1729	354
830	1730	351
831	1731	349
832	1733	347
833	1734	345
834	1736	343
835	1738	341
836	1740	338
837	1741	336
838	1743	334
839	1744	332
840	1746	330
841	1747	327
842	1748	325
843	1750	323
844	1752	321
845	1754	319
846	1755	317
847	1757	314
848	1758	312
849	1760	310
850	1761	308
851	1763	306
852	1764	304
853	1767	302
854	1768	299
855	1770	297
856	1772	295
857	1773	293
858	1774	291
859	1776	289
860	1777	286
861	1778	284
862	1780	282
863	1782	280
864	1784	278
865	1785	276
866	1787	274
867	1788	271
868	1789	269
869	1791	267
870	1792	265
871	1794	263
872	1797	261
873	1799	259
874	1802	257
875	1803	255
876	1804	253
877	1806	250
878	1807	248
879	1809	246
880	1811	244
881	1813	242
882	1814	240
883	1816	238
884	1817	236
885	1819	234
886	1820	231
887	1821	229
888	1823	227
889	1824	225
890	1827	223
891	1829	221
892	1830	219
893	1831	217
894	1833	215
895	1834	212
896	1836	210
897	1837	208
898	1839	206
899	1840	204
900	1842	202
901	1844	200
902	1845	198
903	1846	196
904	1848	194
905	1849	191
906	1851	189
907	1852	187
908	1853	185
909	1856	183
910	1857	181
911	1859	179
912	1860	177
913	1862	175
914	1863	173
915	1864	171
916	1866	168
917	1868	166
918	1870	164
919	1871	162
920	1873	160
921	1874	158
922	1876	156
923	1877	154
924	1878	152
925	1880	150
926	1881	148
927	1883	146
928	1886	144
929	1888	142
930	1890	140
931	1891	138
932	1893	135
933	1894	133
934	1896	131
935	1897	129
936	1898	127
937	1900	125
938	1902	123
939	1903	121
940	1905	119
941	1907	117
942	1909	115
943	1910	113
944	1911	111
945	1913	109
946	1916	107
947	1918	105
948	1919	103
949	1920	101
950	1923	99
951	1924	97
952	1926	94
953	1927	92
954	1928	90
955	1930	88
956	1932	86
957	1933	84
958	1935	82
959	1936	80
960	1938	78
961	1939	76
962	1940	74
963	1942	72
964	1943	70
965	1945	68
966	1947	66
967	1948	64
968	1950	62
969	1951	60
970	1952	58
971	1954	56
972	1955	54
973	1957	52
974	1958	50
975	1960	48
976	1962	46
977	1964	44
978	1966	42
979	1967	40
980	1969	38
981	1970	36
982	1971	34
983	1973	32
984	1975	30
985	1977	28
986	1978	26
987	1980	24
988	1982	22
989	1983	20
990	1984	18
991	1986	16
992	1987	14
993	1989	12
994	1992	10
995	1993	8
996	1995	6
997	1996	4
998	1997	1
999	1998	0
